,esgScores
maxAge,86400
totalEsg,18.88
environmentScore,2.33
socialScore,7.98
governanceScore,8.58
ratingYear,2025
ratingMonth,7
highestControversy,3.0
peerCount,238
esgPerformance,LAG_PERF
peerGroup,Technology Hardware
relatedControversy,['Business Ethics Incidents;Customer Incidents']
peerEsgScorePerformance,"{'min': 4.51, 'avg': 16.96747899159664, 'max': 34.19}"
peerGovernancePerformance,"{'min': 0.76, 'avg': 4.80887640449438, 'max': 9.93}"
peerSocialPerformance,"{'min': 1.4, 'avg': 5.3407865168539335, 'max': 12.45}"
peerEnvironmentPerformance,"{'min': 0.17, 'avg': 4.272247191011235, 'max': 11.6}"
peerHighestControversyPerformance,"{'min': 0.0, 'avg': 0.5756302521008403, 'max': 3.0}"
percentile,
environmentPercentile,
socialPercentile,
governancePercentile,
adult,False
alcoholic,False
animalTesting,False
catholic,
controversialWeapons,False
smallArms,False
furLeather,False
gambling,False
gmo,False
militaryContract,False
nuclear,False
pesticides,False
palmOil,False
coal,False
tobacco,False
